제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,제습능력 (L),표준사용면적 (㎡),"물통 (용량 / 만수용량, L)",에너지 소비효율등급,정격전원 (V / Hz),디스플레이 타입,색상,소비전력 (W),제품무게 (kg),"제품 크기 (WxHxD, mm)",저소음 제습,집중건조,극세필터,만수 감지,자동 제상,이오나이저,정전 보상 기능,제품 이동용 바퀴,잠금 기능,습도표시,측면착탈식 물통,라이팅,타이머,연속 배수,UV팬살균,손잡이,습도 조절,쾌속 의류 모드,센서,물통 착탈 방향,자동건조,자동습도조절,투명 물통,스마트 플러스 모드,맞춤 모드,히든 코드 수납,만수 자동 정지,UP 가전,ThinQ(Wi-Fi),스마트 진단,실내용 제습기 HD인증 (한국 공기청정협회),BAF인증 (영국 알러지협회),품명 및 모델명,동일모델의 출시년월,제조국,제조자 (수입자),KC 인증 필 유무,KC인증조회,전기용품 안전인증(확인신고) 번호,전자파 적합성 인증(등록) 번호,전자파 적합성 인증(등록) 번호 (Wi-Fi),판매자,품질보증기준,A/S 책임자와 전화번호,스마트 제습,쾌속 제습,풍량 조절,파워코드 걸이,의류 건조,무선적합인증 번호,전자파 적합성 인증(등록) 번호 (UWB)
제습기,https://www.lge.co.kr/dehumidifiers/dq235mwga,LG 휘센 오브제컬렉션 제습기23L1등급,DQ235MWGA,판매중,"942,000원","849,000원","761,700원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/dehumidifiers/md10586826/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small09.jpg']",23,95,5.0 / 4.1,1등급,220V / 60Hz,LED + 터치 버튼,에센스 화이트,365,16.0,410 x 640 x 210,O,O,O (세척가능),O,O,X,O,O,O,O,O,O,1-8 시간,O,O,O,O,O,온습도 센서 / 수위 센서,옆,O,O,O,O,O,O,O,O,O,O,O,X,DQ235MWGA,2025-04,중국,LG전자㈜,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,XU070598-24002,R-R-LGE-DQ235MWGA,R-C-LGE-LCWB-001,LG전자㈜,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,
제습기,https://www.lge.co.kr/dehumidifiers/dq235mega,LG 휘센 오브제컬렉션 제습기23L1등급,DQ235MEGA,판매중,"942,000원","879,000원","789,600원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/dehumidifiers/md10586828/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small09.jpg']",23,95,5.0 / 4.1,1등급,220V / 60Hz,LED + 터치 버튼,카밍 베이지,365,16.0,410 x 640 x 210,O,O,O (세척가능),O,O,X,O,O,O,O,O,O,1-8 시간,O,O,O,O,O,온습도 센서 / 수위 센서,옆,O,O,O,O,O,O,O,O,O,O,O,X,DQ235MEGA,2025-04,중국,LG전자㈜,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,XU070598-24002,R-R-LGE-DQ235MWGA,R-C-LGE-LCWB-001,LG전자㈜,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,
제습기,https://www.lge.co.kr/dehumidifiers/dq214mwga,LG 휘센 오브제컬렉션 제습기21L1등급,DQ214MWGA,판매중,"887,000원","669,000원","594,300원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small08.jpg']",21,87,5.0 / 4.1,1등급,220V / 60Hz,LED + 터치 버튼,에센스 화이트,336,16.0,410 x 640 x 210,O,O,O (세척가능),O,O,,O,O,O,O,O,O,1-8 시간,O,O,O,O,O,온습도 센서 / 수위 센서,옆,O,O,O,O,O,O,O,O,O,O,O,,DQ214MWGA,2024-06,중국,LG전자㈜,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,XU070598-24002,R-R-LGE-DQ214MWGA,R-C-LGE-LCWB-001,LG전자㈜,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,
제습기,https://www.lge.co.kr/dehumidifiers/dq214mega-akor,LG 휘센 오브제컬렉션 제습기21L1등급,DQ214MEGA,판매중,"887,000원","589,000원","519,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10412827/gallery/small09.jpg']",21,87,5.0 / 4.1,1등급,220V / 60Hz,LED + 터치 버튼,카밍 베이지,336,16.0,410 x 640 x 210,O,O,O (세척가능),O,O,,O,O,O,O,O,O,1-8 시간,O,O,O,O,O,온습도 센서 / 수위 센서,옆,O,O,O,O,O,O,O,O,O,O,O,,DQ214MEGA,2024-07,중국,LG전자㈜,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,XU070598-24002,R-R-LGE-DQ214MWGA,R-C-LGE-LCWB-001,LG전자㈜,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,
제습기,https://www.lge.co.kr/dehumidifiers/dq185mwga,LG 휘센 오브제컬렉션 제습기18L1등급,DQ185MWGA,판매중,"787,000원","599,000원","529,200원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/dehumidifiers/md10586826/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10372849/gallery/small09.jpg']",18,75,5.0 / 4.1,1등급,220V / 60Hz,LED + 터치 버튼,에센스 화이트,285,15.8,410 x 640 x 210,O,O,O (세척가능),O,O,X,O,O,O,O,O,O,1-8 시간,O,O,O,O,O,온습도 센서 / 수위 센서,옆,O,O,O,O,O,O,O,O,O,O,O,X,DQ185MWGA,2025-04,중국,LG전자㈜,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,XU070598-24002,R-R-LGE-DQ214MWGA,R-C-LGE-LCWB-001,LG전자㈜,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,
제습기,https://www.lge.co.kr/dehumidifiers/dq154mwga-akor,LG 휘센 오브제컬렉션 제습기15L1등급,DQ154MWGA,판매중,"675,000원","459,000원","459,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/dehumidifiers/md10401829/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401829/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401829/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401829/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401829/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401829/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401829/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401829/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401829/gallery/small09.jpg']",15,62,5.0 / 4.1,1등급,220V / 60Hz,LED + 터치 버튼,에센스 화이트,238,15.5,410 x 640 x 210,O,O,O (세척가능),O,O,,O,O,O,O,O,O,1-8 시간,O,O,O,O,O,온습도 센서 / 수위 센서,옆,O,O,O,O,O,O,O,O,O,O,O,,DQ154MWGA,2024-06,중국,LG전자㈜,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,XU070598-24002,R-R-LGE-DQ214MWGA,R-C-LGE-LCWB-001,LG전자㈜,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,
제습기,https://www.lge.co.kr/dehumidifiers/dq134mwec-akor,LG 휘센 오브제컬렉션 제습기13L1등급,DQ134MWEC,판매중,"498,000원","369,000원","369,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/dehumidifiers/md10401830/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401830/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401830/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401830/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401830/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401830/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401830/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401830/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10401830/gallery/small09.jpg']",13,54,5.0 / 4.1,1등급,220V / 60Hz,LED + 터치 버튼,에센스 화이트,202,15.5,410 x 640 x 210,O,O,O (세척가능),O,O,,O,O,O,O,O,O,1-8 시간,O,,O,O,O,온습도 센서 / 수위 센서,옆,O,O,O,O,O,O,O,O,O,O,O,,DQ134MWEC,2024-06,중국,LG전자㈜,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,XU070598-24002,R-R-LGE-DQ214MWGA,R-C-LGE-LCWB-001,LG전자㈜,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,
제습기,https://www.lge.co.kr/dehumidifiers/dq205pega-akor,LG 휘센 오브제컬렉션 제습기20L1등급,DQ205PEGA,판매중,"831,000원","548,000원","481,800원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/dehumidifiers/md10544829/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544829/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544829/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544829/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544829/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544829/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544829/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544829/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544829/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544829/gallery/small09.jpg']",20,83,5.0 / 4.2,1등급,220V / 60Hz,LED + 터치 버튼,카밍 베이지,320,16.7,415 x 715 x 296,O,O,O (세척가능),O,O,,O,O,O,O,O,O,1-8 시간,O,O,O,,,습도 / 온도,,O,O,O,,,,O,O,O,O,O,,DQ205PEGA,2025-03,중국,LG전자㈜,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,XU070598-22001,R-R-LGE-DQ203PECA,R-C-LGE-LCWB-001,LG전자㈜,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,O,O,O,O,O,해당 없음,해당 없음
제습기,https://www.lge.co.kr/dehumidifiers/dq205psva-akor,LG 휘센 제습기20L1등급,DQ205PSVA,판매중,"743,000원","549,000원","482,700원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/dehumidifiers/md10544830/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544830/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544830/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544830/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544830/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544830/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544830/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544830/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544830/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10544830/gallery/small09.jpg']",20,83,5.0 / 4.2,1등급,220V / 60Hz,LED + 터치 버튼,실버,320,16.7,415 x 715 x 296,O,O,O (세척가능),O,O,,O,O,O,O,O,O,1-8 시간,O,O,O,,,습도 / 온도,,O,O,O,,,,O,O,O,O,O,,DQ205PSVA,2025-03,중국,LG전자㈜,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,XU070598-22001,R-R-LGE-DQ203PECA,R-C-LGE-LCWB-001,LG전자㈜,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,O,O,O,O,O,해당 없음,해당 없음
제습기,https://www.lge.co.kr/dehumidifiers/dq154mwgas,LG 휘센 오브제컬렉션 제습기 + 건조케이스15L1등급,DQ154MWGAS,판매중,"785,000원","528,000원","448,000원","포인트 최대 0 멤버십 포인트 적립 | 캐시백 최대 50,000원 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)",,,4.9,"['https://www.lge.co.kr/kr/images/dehumidifiers/md10597895/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10597895/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10597895/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10597895/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10597895/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10597895/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10597895/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10597895/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/dehumidifiers/md10597895/gallery/small09.jpg']",15,62,5.0 / 4.1,1등급,220V / 60Hz,LED + 터치 버튼,에센스 화이트,238,15.5,410 x 640 x 210,O,O,O (세척가능),O,O,,O,O,O,O,O,O,1-8 시간,O,O,O,O,O,온습도 센서 / 수위 센서,옆,O,O,O,O,O,O,O,O,O,O,O,,DQ154MWGA,2024-06,중국,LG전자㈜,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,XU070598-24002,R-R-LGE-DQ214MWGA,R-C-LGE-LCWB-001,LG전자㈜,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,
