제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,제품분류,제품 유형,유효정수량 (L),정수방식,직수방식,색상,"제품 크기 (WxHxD, mm)",무게 (Kg),필터,가열 방식,온수 온도 표시,냉수 온도 표시,정수 연속,냉수 연속,냉각 방식,정량 출수 (mL),청정램프,인버터 컴프레서,음성 안내,출수구 고온살균 (수동),직수관 고온살균 (자동),상하 무빙 출수구,음성 인식,정격전류 (A),정격입력 (W),ThinQ(Wi-Fi),스마트 커넥티비티,UP 가전,KC 인증 필 유무,KC인증조회,전기용품 안전인증(확인신고) 번호,전자파 적합성 인증(등록) 번호,정격전압 (V/Hz),동일모델의 출시년월,제조자 (수입자),제조국,품질보증기준,A/S 책임자와 전화번호,판매자,"파우셋 크기 (ØXHXD, mm)",클린세척수(전해수),듀얼 스윙 출수구,로테이션 트레이,직수관 고온살균 (자동/수동),상하좌우 무빙 출수탭,얼음 보관 방식,얼음 저장 용량,일 제빙량,저수조 총 용량 (L),냉수 저수조 용량 (L),온수 저수조 용량 (L),에너지 소비효율등급
정수기,https://www.lge.co.kr/water-purifiers/wd524awb,"LG 퓨리케어 오브제컬렉션 정수기(음성인식/맞춤 출수, 냉온정)",WD524AWB,판매중,"1,679,000원","1,513,000원","1,314,100원","포인트 최대 100,000 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 16,400 원",월 0원,4.9,"['https://www.lge.co.kr/kr/images/water-purifiers/md10017827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017827/gallery/wd524awb.akor_hr.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017827/gallery/small08.jpg']",냉온정수기,데스크형,"1,500",직수,"냉수(순간냉각), 온수(순간가열), 정수",카밍 크림 화이트,168 x 398 x 400,11.6,"중금속9 흡착 필터, 바이러스 클리어 필터",인덕션 히터,O,X,O,O,직수식 순간 냉수,120~1000mL 내 10mL 단위 조절,O,O,O,O,O,O,O,1.3,"2,820",O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-22006,R-R-LGE-WD508A2207,220V / 60Hz,2023-07,LG전자,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자㈜,,,,,,,,,,,,,
정수기,https://www.lge.co.kr/water-purifiers/wd323acb,"LG 퓨리케어 오브제컬렉션 정수기(맞춤 출수, 냉정)",WD323ACB,판매중,"1,419,000원","1,278,000원","1,123,500원","포인트 최대 100,000 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 18,400 원",월 0원,5.0,"['https://www.lge.co.kr/kr/images/water-purifiers/md09976827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09976827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09976827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09976827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09976827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09976827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09976827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09976827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09976827/gallery/small08.jpg']",냉정수기,데스크형,"1,500",직수,"냉수(순간냉각), 정수",카밍 베이지,168 x 398 x 400,10.4,"중금속9 흡착 필터, 바이러스 클리어 필터",X,X,,O,O,직수식 순간 냉수,120~1000mL 내 10mL 단위 조절,O,O,O,O,O,O,X,1.3,,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-22012,R-R-LGE-WD323A2305,220V / 60Hz,2023-06,LG전자,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자㈜,,,,,,,,,,,,,
정수기,https://www.lge.co.kr/water-purifiers/wd523awb,"LG 퓨리케어 오브제컬렉션 정수기(맞춤 출수, 냉온정)",WD523AWB,판매중,"1,614,000원","1,454,000원","1,287,200원","포인트 최대 100,000 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 14,900 원",월 0원,5.0,"['https://www.lge.co.kr/kr/images/water-purifiers/md10017832/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017832/gallery/wd523awb.akor_hr.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017832/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017832/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017832/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017832/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017832/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017832/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017832/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017832/gallery/small08.jpg']",냉온정수기,데스크형,"1,500",직수,"냉수(순간냉각), 온수(순간가열), 정수",카밍 크림 화이트,168 x 398 x 400,11.6,"중금속9 흡착 필터, 바이러스 클리어 필터",인덕션 히터,O,X,O,O,직수식 순간 냉수,120~1000mL 내 10mL 단위 조절,O,O,O,O,O,O,X,1.3,"2,820",O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-22006,R-R-LGE-WD507A2206,220V / 60Hz,2023-07,LG전자,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자㈜,,,,,,,,,,,,,
정수기,https://www.lge.co.kr/water-purifiers/wd520awb,"LG 퓨리케어 오브제컬렉션 정수기(맞춤 lite, 냉온정)",WD520AWB,판매중,"1,342,000원","1,128,000원","1,021,200원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 14,400 원",월 0원,5.0,"['https://www.lge.co.kr/kr/images/water-purifiers/md09951827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09951827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09951827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09951827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09951827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09951827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09951827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09951827/gallery/small07.jpg']",냉온정수기,데스크형,"1,500",직수,"냉수(순간냉각), 온수(순간가열), 정수",카밍 크림 화이트,168 x 398 x 400,11.4,"중금속9 흡착 필터, 바이러스 클리어 필터",인덕션 히터,O,,O,O,직수식 순간 냉수,"120, 250, 500, 1,000",O,O,X,O,O,X,X,1.3,"2,820",O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-22006,R-R-LGE-WD520A2303,220V / 60Hz,2023-05,LG전자,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,
정수기,https://www.lge.co.kr/water-purifiers/wu923as,"LG 퓨리케어 정수기(듀얼, 냉온정)",WU923AS,판매중,"1,717,000원","1,547,000원","1,345,800원","포인트 최대 100,000 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 22,400 원",월 0원,5.0,"['https://www.lge.co.kr/kr/images/water-purifiers/md10017840/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017840/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017840/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017840/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017840/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017840/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017840/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017840/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017840/gallery/small08.jpg']",냉온정수기+세척수,언더싱크형,"1,500",직수,"냉수(순간냉각), 온수(순간가열), 정수",실버,170 x 420 x 410,12.8,"중금속9 흡착 필터, 바이러스 클리어 필터",인덕션 히터,O,,O,O,직수식 순간 냉수,"120, 250, 500",O,O,X,O,O,,X,1.3,"2,820",O,O,X,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-21021,R-R-LGE-WU903AS2110,220V / 60Hz,2023-10,LG전자,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,48 x 264 x 188,O,O,,,,,,,,,,
정수기,https://www.lge.co.kr/water-purifiers/wu923acb,"LG 퓨리케어 오브제컬렉션 정수기(듀얼, 냉온정)",WU923ACB,판매중,"1,795,000원","1,617,000원","1,410,900원","포인트 최대 100,000 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 22,400 원",월 0원,5.0,"['https://www.lge.co.kr/kr/images/water-purifiers/md10017839/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017839/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017839/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017839/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017839/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017839/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017839/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017839/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017839/gallery/small08.jpg']",냉온정수기+세척수,언더싱크형,"1,500",직수,"냉수(순간냉각), 온수(순간가열), 정수",솔리드 베이지,170 x 420 x 410,12.8,"중금속9 흡착 필터, 바이러스 클리어 필터",인덕션 히터,O,,O,O,직수식 순간 냉수,"120, 250, 500",O,O,X,O,O,,X,1.3,"2,820",O,O,X,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-21021,R-R-LGE-WU903AS2110,220V / 60Hz,2023-10,LG전자,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,48 x 264 x 188,O,O,,,,,,,,,,
정수기,https://www.lge.co.kr/water-purifiers/wu823as,"LG 퓨리케어 정수기(듀얼, 냉정)",WU823AS,판매중,"1,601,000원","1,442,000원","1,276,000원","포인트 최대 100,000 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 22,400 원",월 0원,4.9,"['https://www.lge.co.kr/kr/images/water-purifiers/md10017841/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017841/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017841/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017841/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017841/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017841/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017841/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017841/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017841/gallery/small08.jpg']",냉정수기+세척수,언더싱크형,"1,500",직수,"냉수(순간냉각), 정수",실버,170 x 420 x 410,11.4,"중금속9 흡착 필터, 바이러스 클리어 필터",X,X,,O,O,직수식 순간 냉수,"120, 250, 500",O,O,,X,O,,,1.3,,O,O,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-21020,R-R-LGE-WU803AS2204,220V / 60Hz,2023-10,LG전자,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,48 x 264 x 188,O,O,,,,,,,,,,
정수기,https://www.lge.co.kr/water-purifiers/wd525acb,"LG 퓨리케어 오브제컬렉션 정수기(상하좌우, 냉온정)",WD525ACB,판매중,"1,484,000원","1,337,000원","1,178,400원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 29,900 원","월 3,900원",5.0,"['https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09003826/gallery/wd505acb.akor_f6.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md10017842/gallery/small11.jpg']",냉온정수기,데스크형,"1,500",직수,"냉수(순간냉각), 온수(순간가열), 정수",카밍 베이지,170 x 419 x 550,11.6,"중금속9 흡착 필터, 바이러스 클리어 필터",인덕션 히터,O,O,O,O,직수식 순간 냉수,"120, 250, 500, 1,000",O,O,O,O,,,,1.3,"2,820",O,O,X,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-21006,R-R-LGE-WD505AW2106,220V / 60Hz,2023-11,LG전자,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,O,O,O,,,,,,,
정수기,https://www.lge.co.kr/water-purifiers/wd525as,"LG 퓨리케어 정수기(상하좌우, 냉온정)",WD525AS,판매중,"1,484,000원","1,337,000원","1,178,400원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 29,900 원","월 3,900원",5.0,"['https://www.lge.co.kr/kr/images/water-purifiers/md10017845/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/wd505as.akor_f2.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018827/gallery/small11.jpg']",냉온정수기,데스크형,"1,500",직수,"냉수(순간냉각), 온수(순간가열), 정수",실버,170 x 419 x 550,11.6,"중금속9 흡착 필터, 바이러스 클리어 필터",인덕션 히터,O,O,O,O,직수식 순간 냉수,"120, 250, 500, 1,000",O,O,O,O,,,,1.3,"2,820",O,O,X,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-21006,R-R-LGE-WD505AW2106,220V / 60Hz,2023-11,LG전자,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,O,O,O,,,,,,,
정수기,https://www.lge.co.kr/water-purifiers/wd325as,"LG 퓨리케어 정수기(상하좌우, 냉정)",WD325AS,판매중,"1,289,000원","1,161,000원","1,051,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 26,900 원",월 900원,4.9,"['https://www.lge.co.kr/kr/images/water-purifiers/md10017847/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018829/gallery/wd305as.akor_f2.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018829/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018829/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018829/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018829/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018829/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/water-purifiers/md09018829/gallery/small06.jpg']",냉정수기,데스크형,"1,500",직수,"냉수(순간냉각), 정수",실버,170 x 419 x 550,10.4,"중금속9 흡착 필터, 바이러스 클리어 필터",X,X,O,X,X,직수식 순간 냉수,"1000ml, 120ml, 250ml, 500ml",O,O,O,O,,,,1.3,,O,O,X,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-21014,R-R-LGE-WD305AW2107,220V / 60Hz,2023-11,LG전자,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자㈜,,,,O,O,O,,,,,,,
